,feature,include,reference
52,"Validation of an artificial intelligence solution for acute triage and rule-out normal of non-contrast CT head scans. Non-contrast CT head scans provide rapid and accurate diagnosis of acute head injury; however, increased utilisation of CT head scans makes it difficult to prioritise acutely unwell patients and places pressure on busy emergency departments (EDs). This study validates an AI algorithm to triage patients presenting with Intracranial Haemorrhage (ICH) or Acute Infarct whilst also identifying a subset of patients as Normal, with the potential to function as a rule-out test.",0,0
60,"Transfer Learning Improves Accelerometer-Based Child Activity Recognition via Subject-Independent Adult-Domain Adaption. Wearable activity recognition can collate the type, intensity, and duration of each childs physical activity profile, which is important for exploring underlying adolescent health mechanisms. Traditional machine-learning-based approaches require large labeled data sets; however, child activity data sets are typically small and insufficient. Thus, we proposed a transfer learning approach that adapts adult-domain data to train a high-fidelity, subject-independent model for child activity recognition. Twenty children and twenty adults wore an accelerometer wristband while performing walking, running, sitting, and rope skipping activities. Activity classification accuracy was determined via the traditional machine learning approach without transfer learning and with the proposed subject-independent transfer learning approach. Results showed that transfer learning increased classification accuracy to 91.4% as compared to 80.6% without transfer learning. These results suggest that subject-independent transfer learning can improve accuracy and potentially reduce the size of the required child data sets to enable physical activity monitoring systems to be adopted more widely, quickly, and economically for children and provide deeper insights into injury prevention and health promotion strategies.",0,0
61,"A Machine-learning Based Assessment Method for Early-stage Neurocognitive Impairment by an Immersive Virtual Supermarket. Alzheimer's disease (AD) is a neurodegenerative disorder. Though it is not yet curable or reversible, research has shown that clinical intervention or intensive cognitive training at an early stage may effectively delay the progress of the disease. As a result, screening populations with mild cognitive impairment (MCI) or early AD via efficient, effective and low-cost cognitive assessments is important. Currently, a cognitive assessment relies mostly on cognitive tests, such as the Mini-Mental State Examination (MMSE) or the Montreal Cognitive Assessment (MoCA), which must be performed by therapists. Also, cognitive functions can be divided into a variety of dimensions, such as memory, attention, executive function, visual spatial and so on. Executive functions (EF), also known as executive control or cognitive control, refer to a set of skills necessary to perform higher-order cognitive processes, including working memory, planning, attention, cognitive flexibility, and inhibitory control. Along with the fast progress of virtual reality (VR) and artificial intelligence (AI), this study proposes an intelligent assessment method aimed at assessing executive functions. Utilizing machine learning to develop an automatic evidence-based assessment model, behavioral information is acquired through performing executive-function tasks in a VR supermarket. Clinical trials were performed individuals with MCI or early AD and six healthy participants. Statistical analysis showed that 45 out of 46 indices derived from behavioral information were found to differ significantly between individuals with neurocognitive disorder and healthy participants. This analysis indicates these indices may be potential bio-markers. Further, machine-learning methods were applied to build classifiers that differentiate between individuals with MCI or early AD and healthy participants. The accuracy of the classifier is up to 100%, demonstrating the derived features from the VR system were highly related to diagnosis of individuals with MCI or early AD.",0,0
66,"Deep Learning for nasopharyngeal Carcinoma Identification Using Both White Light and Narrow-Band Imaging Endoscopy. To develop a deep-learning-based automatic diagnosis system for identifying nasopharyngeal carcinoma (NPC) from noncancer (inflammation and hyperplasia), using both white light imaging (WLI) and narrow-band imaging (NBI) nasopharyngoscopy images.",0,0
68,[Early Assessment of Myocardial Fibrosis of Hypertrophic Cardiomyopathy with Native-T1-Mapping-Based Deep Learning: A Preliminary Study]. To explore the diagnostic performance of deep learning (DL) model in early detection of the interstitial myocardial fibrosis using native T1 maps of hypertrophic cardiomyopathy (HCM) without late gadolinium enhancement (LGE).,0,0
70,"[Application of Deep Learning Reconstruction Algorithm in Low-Dose Thin-Slice Liver CT of Healthy Volunteers]. To explore the clinical feasibility of applying deep learning (DL) reconstruction algorithm in low-dose thin-slice liver CT examination of healthy volunteers by comparing the reconstruction algorithm based on DL, filtered back projection (FBP) reconstruction algorithm and iterative reconstruction (IR) algorithm.",0,0
78,"Machine Learning Predictions of Cancer Driver Mutations. A method to predict the activation status of kinase domain mutations in cancer is presented. This method, which makes use of the machine learning technique support vector machines (SVM), has applications to cancer treatment, as well as numerous other diseases that involve kinase misregulation.",0,0
79,"Predicting endometrial cancer subtypes and molecular features from histopathology images using multi-resolution deep learning models. The determination of endometrial carcinoma histological subtypes, molecular subtypes, and mutation status is critical for the diagnostic process, and directly affects patients' prognosis and treatment. Sequencing, albeit slower and more expensive, can provide additional information on molecular subtypes and mutations that can be used to better select treatments. Here, we implement a customized multi-resolution deep convolutional neural network, Panoptes, that predicts not only the histological subtypes but also the molecular subtypes and 18 common gene mutations based on digitized H&E-stained pathological images. The model achieves high accuracy and generalizes well on independent datasets. Our results suggest that Panoptes, with further refinement, has the potential for clinical application to help pathologists determine molecular subtypes and mutations of endometrial carcinoma without sequencing.",0,0
80,"Predictive models of response to neoadjuvant chemotherapy in muscle-invasive bladder cancer using nuclear morphology and tissue architecture. Characterizing likelihood of response to neoadjuvant chemotherapy (NAC) in muscle-invasive bladder cancer (MIBC) is an important yet unmet challenge. In this study, a machine-learning framework is developed using imaging of biopsy pathology specimens to generate models of likelihood of NAC response. Developed using cross-validation (evaluable NÂ = 66) and an independent validation cohort (evaluable NÂ = 56), our models achieve promising results (65%-73% accuracy). Interestingly, one model-using features derived from hematoxylin and eosin (H&E)-stained tissues in conjunction with clinico-demographic features-is able to stratify the cohort into likely responders in cross-validation and the validation cohort (response rate of 65% for predicted responder compared with the 41% baseline response rate in the validation cohort). The results suggest that computational approaches applied to routine pathology specimens of MIBC can capture differences between responders and non-responders to NAC and should therefore be considered in the future design of precision oncology for MIBC.",0,0
81,"Extracellular vesicles as distinct biomarker reservoirs for mild traumatic brain injury diagnosis. Mild traumatic brain injury does not currently have a clear molecular diagnostic panel to either confirm the injury or to guide its treatment. Current biomarkers for traumatic brain injury rely mainly on detecting circulating proteins in blood that are associated with degenerating neurons, which are less common in mild traumatic brain injury, or with broad inflammatory cascades which are produced in multiple tissues and are thus not brain specific. To address this issue, we conducted an observational cohort study designed to measure a protein panel in two compartments-plasma and brain-derived extracellular vesicles-with the following hypotheses: (i) each compartment provides independent diagnostic information and (ii) algorithmically combining these compartments accurately classifies clinical mild traumatic brain injury. We evaluated this hypothesis using plasma samples from mild (Glasgow coma scale scores 13-15) traumatic brain injury patients (<i>nâ€‰</i>=<i>â€‰</i>47) and healthy and orthopaedic control subjects (<i>nâ€‰</i>=<i>â€‰</i>46) to evaluate biomarkers in brain-derived extracellular vesicles and plasma. We used our Track Etched Magnetic Nanopore technology to isolate brain-derived extracellular vesicles from plasma based on their expression of GluR2, combined with the ultrasensitive digital enzyme-linked immunosorbent assay technique, Single-Molecule Array. We quantified extracellular vesicle-packaged and plasma levels of biomarkers associated with two categories of traumatic brain injury pathology: neurodegeneration and neuronal/glial damage (ubiquitin C-terminal hydrolase L1, glial fibrillary acid protein, neurofilament light and Tau) and inflammation (interleukin-6, interleukin-10 and tumour necrosis factor alpha). We found that GluR2+ extracellular vesicles have distinct biomarker distributions than those present in the plasma. As a proof of concept, we showed that using a panel of biomarkers comprised of both plasma and GluR2+ extracellular vesicles, injured patients could be accurately classified versus non-injured patients.",0,0
91,A fully deep learning model for the automatic identification of cephalometric landmarks. This study aimed to propose a fully automatic landmark identification model based on a deep learning algorithm using real clinical data and to verify its accuracy considering inter-examiner variability.,0,0
93,"Interactive Machine Learning-Based Multi-Label Segmentation of Solid Tumors and Organs. We seek the development and evaluation of a fast, accurate, and consistent method for general-purpose segmentation, based on interactive machine learning (IML). To validate our method, we identified retrospective cohorts of 20 brain, 50 breast, and 50 lung cancer patients, as well as 20 spleen scans, with corresponding ground truth annotations. Utilizing very brief user training annotations and the adaptive geodesic distance transform, an ensemble of SVMs is trained, providing a patient-specific model applied to the whole image. Two experts segmented each cohort twice with our method and twice manually. The IML method was faster than manual annotation by 53.1% on average. We found significant (<i>p</i> < 0.001) overlap difference for spleen (Dice<sub>IML</sub>/Dice<sub>Manual</sub> = 0.91/0.87), breast tumors (Dice<sub>IML</sub>/Dice<sub>Manual</sub> = 0.84/0.82), and lung nodules (Dice<sub>IML</sub>/Dice<sub>Manual</sub> = 0.78/0.83). For intra-rater consistency, a significant (<i>p</i> = 0.003) difference was found for spleen (Dice<sub>IML</sub>/Dice<sub>Manual</sub> = 0.91/0.89). For inter-rater consistency, significant (<i>p</i> < 0.045) differences were found for spleen (Dice<sub>IML</sub>/Dice<sub>Manual</sub> = 0.91/0.87), breast (Dice<sub>IML</sub>/Dice<sub>Manual</sub> = 0.86/0.81), lung (Dice<sub>IML</sub>/Dice<sub>Manual</sub> = 0.85/0.89), the non-enhancing (Dice<sub>IML</sub>/Dice<sub>Manual</sub> = 0.79/0.67) and the enhancing (Dice<sub>IML</sub>/Dice<sub>Manual</sub> = 0.79/0.84) brain tumor sub-regions, which, in aggregation, favored our method. Quantitative evaluation for speed, spatial overlap, and consistency, reveals the benefits of our proposed method when compared with manual annotation, for several clinically relevant problems. We publicly release our implementation through CaPTk (Cancer Imaging Phenomics Toolkit) and as an MITK plugin.",1,1
99,"Facial Emotion Recognition Predicts Alexithymia Using Machine Learning. Alexithymia, as a fundamental notion in the diagnosis of psychiatric disorders, is characterized by deficits in emotional processing and, consequently, difficulties in emotion recognition. Traditional tools for assessing alexithymia, which include interviews and self-report measures, have led to inconsistent results due to some limitations as insufficient insight. Therefore, the purpose of the present study was to propose a new screening tool that utilizes machine learning models based on the scores of facial emotion recognition task.",0,0
106,"Intelligent Dermatologist Tool for Classifying Multiple Skin Cancer Subtypes by Incorporating Manifold Radiomics Features Categories. The rates of skin cancer (SC) are rising every year and becoming a critical health issue worldwide. SC's early and accurate diagnosis is the key procedure to reduce these rates and improve survivability. However, the manual diagnosis is exhausting, complicated, expensive, prone to diagnostic error, and highly dependent on the dermatologist's experience and abilities. Thus, there is a vital need to create automated dermatologist tools that are capable of accurately classifying SC subclasses. Recently, artificial intelligence (AI) techniques including machine learning (ML) and deep learning (DL) have verified the success of computer-assisted dermatologist tools in the automatic diagnosis and detection of SC diseases. Previous AI-based dermatologist tools are based on features which are either high-level features based on DL methods or low-level features based on handcrafted operations. Most of them were constructed for binary classification of SC. This study proposes an intelligent dermatologist tool to accurately diagnose multiple skin lesions automatically. This tool incorporates manifold radiomics features categories involving high-level features such as ResNet-50, DenseNet-201, and DarkNet-53 and low-level features including discrete wavelet transform (DWT) and local binary pattern (LBP). The results of the proposed intelligent tool prove that merging manifold features of different categories has a high influence on the classification accuracy. Moreover, these results are superior to those obtained by other related AI-based dermatologist tools. Therefore, the proposed intelligent tool can be used by dermatologists to help them in the accurate diagnosis of the SC subcategory. It can also overcome manual diagnosis limitations, reduce the rates of infection, and enhance survival rates.",0,0
112,"Prediction of osteoporosis from simple hip radiography using deep learning algorithm. Despite being the gold standard for diagnosis of osteoporosis, dual-energy X-ray absorptiometry (DXA) could not be widely used as a screening tool for osteoporosis. This study aimed to predict osteoporosis via simple hip radiography using deep learning algorithm. A total of 1001 datasets of proximal femur DXA with matched same-side cropped simple hip bone radiographic images of female patients agedâ€‰â‰¥â€‰55Â years were collected. Of these, 504 patients had osteoporosis (T-scoreâ€‰â‰¤ -Â 2.5), and 497 patients did not have osteoporosis. The 1001 images were randomly divided into three sets: 800 images for the training, 100 images for the validation, and 101 images for the test. Based on VGG16 equipped with nonlocal neural network, we developed a deep neural network (DNN) model. We calculated the confusion matrix and evaluated the accuracy, sensitivity, specificity, positive predictive value (PPV), and negative predictive value (NPV). We drew the receiver operating characteristic (ROC) curve. A gradient-based class activation map (Grad-CAM) overlapping the original image was also used to visualize the model performance. Additionally, we performed external validation using 117 datasets. Our final DNN model showed an overall accuracy of 81.2%, sensitivity of 91.1%, and specificity of 68.9%. The PPV was 78.5%, and the NPV was 86.1%. The area under the ROC curve value was 0.867, indicating a reasonable performance for screening osteoporosis by simple hip radiography. The external validation set confirmed a model performance with an overall accuracy of 71.8% and an AUC value of 0.700. All Grad-CAM results from both internal and external validation sets appropriately matched the proximal femur cortex and trabecular patterns of the radiographs. The DNN model could be considered as one of the useful screening tools for easy prediction of osteoporosis in the real-world clinical setting.",0,0
118,"A bioinspired neural architecture search based convolutional neural network for breast cancer detection using histopathology images. The design of neural architecture to address the challenge of detecting abnormalities in histopathology images can leverage the gains made in the field of neural architecture search (NAS). The NAS model consists of a search space, search strategy and evaluation strategy. The approach supports the automation of deep learning (DL) based networks such as convolutional neural networks (CNN). Automating the process of CNN architecture engineering using this approach allows for finding the best performing network for learning classification problems in specific domains and datasets. However, the engineering process of NAS is often limited by the potential solutions in search space and the search strategy. This problem often narrows the possibility of obtaining best performing networks for challenging tasks such as the classification of breast cancer in digital histopathological samples. This study proposes a NAS model with a novel search space initialization algorithm and a new search strategy. We designed a block-based stochastic categorical-to-binary (BSCB) algorithm for generating potential CNN solutions into the search space. Also, we applied and investigated the performance of a new bioinspired optimization algorithm, namely the Ebola optimization search algorithm (EOSA), for the search strategy. The evaluation strategy was achieved through computation of loss function, architectural latency and accuracy. The results obtained using images from the BACH and BreakHis databases showed that our approach obtained best performing architectures with the top-5 of the architectures yielding a significant detection rate. The top-1 CNN architecture demonstrated a state-of-the-art performance of base on classification accuracy. The NAS strategy applied in this study and the resulting candidate architecture provides researchers with the most appropriate or suitable network configuration for using digital histopathology.",0,0
119,"Multi-omics driven predictions of response to acute phase combination antidepressant therapy: a machine learning approach with cross-trial replication. Combination antidepressant pharmacotherapies are frequently used to treat major depressive disorder (MDD). However, there is no evidence that machine learning approaches combining multi-omics measures (e.g., genomics and plasma metabolomics) can achieve clinically meaningful predictions of outcomes to combination pharmacotherapy. This study examined data from 264 MDD outpatients treated with citalopram or escitalopram in the Mayo Clinic Pharmacogenomics Research Network Antidepressant Medication Pharmacogenomic Study (PGRN-AMPS) and 111 MDD outpatients treated with combination pharmacotherapies in the Combined Medications to Enhance Outcomes of Antidepressant Therapy (CO-MED) study to predict response to combination antidepressant therapies. To assess whether metabolomics with functionally validated single-nucleotide polymorphisms (SNPs) improves predictability over metabolomics alone, models were trained/tested with and without SNPs. Models trained with PGRN-AMPS' and CO-MED's escitalopram/citalopram patients predicted response in CO-MED's combination pharmacotherapy patients with accuracies of 76.6% (pâ€‰<â€‰0.01; AUC: 0.85) without and 77.5% (pâ€‰<â€‰0.01; AUC: 0.86) with SNPs. Then, models trained solely with PGRN-AMPS' escitalopram/citalopram patients predicted response in CO-MED's combination pharmacotherapy patients with accuracies of 75.3% (pâ€‰<â€‰0.05; AUC: 0.84) without and 77.5% (pâ€‰<â€‰0.01; AUC: 0.86) with SNPs, demonstrating cross-trial replication of predictions. Plasma hydroxylated sphingomyelins were prominent predictors of treatment outcomes. To explore the relationship between SNPs and hydroxylated sphingomyelins, we conducted multi-omics integration network analysis. Sphingomyelins clustered with SNPs and metabolites related to monoamine neurotransmission, suggesting a potential functional relationship. These results suggest that integrating specific metabolites and SNPs achieves accurate predictions of treatment response across classes of antidepressants. Finally, these results motivate functional investigation into how sphingomyelins might influence MDD pathophysiology, antidepressant response, or both.",0,0
122,Comparing machine learning to a rule-based approach for predicting suicidal behavior among adolescents: Results from a longitudinal population-based survey. Suicidal thoughts and suicide attempts are one of the most prominent public health concerns in adolescents and therefore early detection is important to initiate preventive interventions and closer monitoring.,1,1
125,Subphenotyping of Patients With Aortic Stenosis by Unsupervised Agglomerative Clustering of Echocardiographic and Hemodynamic Data. The aim of this retrospective analysis was to categorize patients with severe aortic stenosis (AS) according to clinical presentation by applying unsupervised machine learning.,0,0
126,"Explainable machine learning model to predict refeeding hypophosphatemia. Refeeding syndrome (RFS) is a disease that occurs when feeding is restarted and metabolism changes from catabolic to anabolic status. RFS can manifest variously, ranging from asymptomatic to fatal, therefore it may easily be overlooked. RFS prediction using explainable machine learning can improve diagnosis and treatment. Our study aimed to propose a machine learning model for RFS prediction, specifically refeeding hypophosphatemia, to evaluate its performance compared with conventional regression models, and to explain the machine learning classification through Shapley additive explanations (SHAP) values.",0,0
127,"Machine learning algorithms for predicting undernutrition among under-five children in Ethiopia. Child undernutrition is a global public health problem with serious implications. In this study, estimate predictive algorithms for the determinants of childhood stunting by using various machine learning (ML) algorithms.",0,0
129,"A machine learning model to predict critical care outcomes in patient with chest pain visiting the emergency department. Currently, the risk stratification of critically ill patient with chest pain is a challenge. We aimed to use machine learning approach to predict the critical care outcomes in patients with chest pain, and simultaneously compare its performance with HEART, GRACE, and TIMI scores.",1,1
133,"[A novel attention fusion network-based multiple instance learning framework to automate diagnosis of chronic gastritis with multiple indicators]. <b>Objective:</b> To explore the performance of the attention-multiple instance learning (MIL) framework, an attention fusion network-based MIL, in the automated diagnosis of chronic gastritis with multiple indicators. <b>Methods:</b> A total of 1 015 biopsy cases of gastritis diagnosed in Fudan University Cancer Hospital, Shanghai, China and 115 biopsy cases of gastritis diagnosed in Shanghai Pudong Hospital, Shanghai, China were collected from January 1st to December 31st in 2018. All pathological sections were digitally converted into whole slide imaging (WSI). The WSI label was based on the corresponding pathological report, including ""activity"" ""atrophy"" and ""intestinal metaplasia"". The WSI were divided into a training set, a single test set, a mixed test set and an independent test set. The accuracy of automated diagnosis for the Attention-MIL model was validated in three test sets. <b>Results:</b> The area under receive-operator curve (AUC) values of Attention-MIL model in single test sets of 240 WSI were: activity 0.98, atrophy 0.89, and intestinal metaplasia 0.98; the average accuracy of the three indicators was 94.2%. The AUC values in mixed test sets of 117 WSI were: activity 0.95, atrophy 0.86, and intestinal metaplasia 0.94; the average accuracy of the three indicators was 88.3%. The AUC values in independent test sets of 115 WSI were: activity 0.93, atrophy 0.84, and intestinal metaplasia 0.90; the average accuracy of the three indicators was 85.5%. <b>Conclusions:</b> To assist in pathological diagnosis of chronic gastritis, the diagnostic accuracy of Attention-MIL model is very close to that of pathologists. Thus, it is suitable for practical application of artificial intelligence technology.",1,0
137,"Unsupervised domain adaptation model for lesion detection in retinal OCT images. Background and objective Optical Coherence Tomography (OCT) is one of the most used retinal imaging modalities in the clinic as it can provide high-resolution anatomical images. The huge number of OCT images has significantly advanced the development of deep learning methods for automatic lesion detection to ease the doctor's workload. However, it has been frequently revealed that the deep neural network (DNN) model has difficulty handling the domain discrepancies, which widely exist in medical images captured from different devices. Many works have been proposed to solve the domain shift issue in deep learning tasks such as disease classification and lesion segmentation, but few works focused on lesion detection, especially for OCT images. Methods In this work, we proposed a faster-RCNN based, unsupervised domain adaptation model to address the lesion detection task in cross-device retinal OCT images. The domain shift is minimized by reducing the image-level shift and instance-level shift at the same time. We combined a domain classifier with a Wasserstein distance (WD) critic to align the shifts at each level. Results The model was tested on two sets of OCT image data captured from different devices, obtained an average accuracy improvement of more than 8% over the method without domain adaptation, and outperformed other comparable domain adaptation methods. Conclusion The results demonstrate the proposed model is more effective in reducing the domain shift than advanced methods.",0,0
138,"Personalised predictive modelling with brain-inspired spiking neural networks of longitudinal MRI neuroimaging data and the case study of dementia. Longitudinal neuroimaging provides spatiotemporal brain data (STBD) measurement that can be utilised to understand dynamic changes in brain structure and/or function underpinning cognitive activities. Making sense of such highly interactive information is challenging, given that the features manifest intricate temporal, causal relations between the spatially distributed neural sources in the brain.",0,0
139,Machine learning to predict individual patient-reported outcomes at 2-year follow-up for women undergoing cancer-related mastectomy and breast reconstruction (INSPiRED-001). Women undergoing cancer-related mastectomy and reconstruction are facing multiple treatment choices where post-surgical satisfaction with breasts is a key outcome. We developed and validated machine learning algorithms to predict patient-reported satisfaction with breasts at 2-year follow-up to better inform the decision-making process for women with breast cancer.,0,0
140,"Examining the predictability and prognostication of multimorbidity among older Delayed-Discharge Patients: A Machine learning analytics. Patient complexity among older delayed-discharge patients complicates discharge planning, resulting in a higher rate of adverse outcomes, such as readmission and mortality. Early prediction of multimorbidity, as a common indicator of patient complexity, can support proactive discharge planning by prioritizing complex patients and reducing healthcare inefficiencies.",0,0
142,Identifying the neurophysiological effects of memory-enhancing amygdala stimulation using interpretable machine learning. Direct electrical stimulation of the amygdala can enhance declarative memory for specific events. An unanswered question is what underlying neurophysiological changes are induced by amygdala stimulation.,0,0
144,"A Deep-Learning Algorithm-Enhanced System Integrating Electrocardiograms and Chest X-rays for Diagnosing Aortic Dissection. Chest pain is the most common symptom of aortic dissection (AD), but it is often confused with other prevalent cardiopulmonary diseases. We aimed to develop deep-learning models (DLMs) with ECG and CXR features to detect AD and evaluate their performance.",0,0
145,"Prediction of GABA receptor antagonist-induced convulsion in cynomolgus monkeys by combining machine learning and heart rate variability analysis. Drug-induced convulsion is a severe adverse event; however, no useful biomarkers for it have been discovered. We propose a new method for predicting drug-induced convulsions in monkeys based on heart rate variability (HRV) and a machine learning technique. Because autonomic nervous activities are altered around the time of a convulsion and such alterations affect HRV, they may be predicted by monitoring HRV. In the proposed method, anomalous changes in multiple HRV parameters are monitored by means of a convulsion prediction model, and convulsion alarms are issued when abnormal changes in HRV are detected. The convulsion prediction model is constructed based on multivariate statistical process control (MSPC), a well-known anomaly detection algorithm in machine learning. In this study, HRV data were collected from four cynomolgus monkeys administered with multiple doses of pentylenetetrazol (PTZ) and picrotoxin (PTX), which are GABA receptor antagonists, as convulsant agents. In addition, low doses of pilocarpine (PILO) were administered as a negative control. Twelve HRV parameters in three hours after drug administration were monitored by means of the prediction model. The number and duration of convulsion alarms from HRV increased at medium and high doses of PTZ and PTX (1/3 or 1/4 of convulsion dose). On the other hand, the frequency of convulsion alarms did not increase with PILO. Although vomiting was observed in all drugs, convulsion alarms were not associated with the vomiting. Thus, convulsion alarms can be used as a biomarker for convulsions induced by GABA receptor antagonists.",0,0
